province,year,avg_wait_time,procedures_with_wait_times,total_volume,procedures_with_volume,low_procedure_coverage,benchmark_pct,hospitals,other_institutions,physicians,other_professionals,drugs,public_health,administration,other_hcc,other_net,covid19,subtotal,capital,total_spending_per_capita,physicians_per_10k_population,physician_data_source,population_estimate,population_growth_rate,land_area_km2,average_age,median_age,percent_65_plus,rural_percent_estimate,urban_percent_estimate,population_density_per_km2,raw_efficiency,geographic_challenge,efficiency_gap,hospitals_efficiency,physicians_efficiency,drugs_efficiency,admin_efficiency,other_professionals_efficiency,public_health_efficiency,admin_overhead_pct,clinical_focus_pct,covid_period
Alberta,2021,30.3,12.0,179339.0,12.0,False,75.0,2132.65,905.78,1253.18,972.01,1106.22,549.5,267.27,,664.17,702.8,8553.58,291.72,8845.3,21.0,actual,4431531,0.55,634658.27,39.0,38.4,14.8,60,40,6.98,291.92409240924087,0.4814779265872479,369.5884075907592,70.38448844884489,41.35907590759076,36.50891089108911,8.82079207920792,32.07953795379538,18.135313531353134,3.021604694018292,38.278294687574196,True
Alberta,2022,39.8,12.0,160185.0,12.0,False,66.3,2195.59,953.78,1354.15,1053.16,1178.2,720.4,291.87,,735.19,162.79,8645.12,304.22,8949.34,21.0,estimated,4512731,1.83,634658.27,39.0,38.4,14.8,60,40,7.11,224.85778894472364,0.4777607465123895,436.6547110552764,55.16557788944724,34.023869346733676,29.603015075376888,7.333417085427136,26.461306532663322,18.100502512562816,3.2613578208001934,39.664824445154615,False
Alberta,2023,42.6,12.0,178375.0,12.0,False,71.5,2320.22,998.11,1390.66,1089.11,1215.58,706.18,294.87,,790.55,,8805.28,335.81,9141.09,21.0,estimated,4688576,3.9,634658.27,39.0,38.4,14.8,60,40,7.39,214.57957746478874,0.47013678882560755,446.93292253521133,54.465258215962436,32.64460093896714,28.534741784037557,6.921830985915493,25.56596244131455,16.576995305164317,3.225764104718365,40.595596367610426,False
Alberta,2024,52.1,12.0,197968.0,12.0,False,77.2,2262.03,1022.56,1444.68,1134.44,1228.62,860.13,305.12,,783.58,,9041.17,328.72,9369.89,21.0,estimated,4909030,4.7,634658.27,39.0,38.4,14.8,60,40,7.73,179.84433781190017,0.4615174369657432,481.66816218809987,43.41708253358925,27.728982725527832,23.581957773512475,5.856429942418426,21.774280230326298,16.509213051823416,3.2563882820395977,39.55980272980793,False
British Columbia,2008,54.8,5.0,27357.0,3.0,False,82.6,1384.82,378.43,757.79,669.93,659.27,333.66,171.77,,449.02,,4804.68,292.87,5097.55,19.1,estimated,4349338,,920686.55,43.1,42.8,20.3,60,40,4.72,93.02098540145987,0.5734047517985241,568.4915145985402,25.27043795620438,13.828284671532847,12.030474452554746,3.134489051094891,12.225,6.088686131386862,3.3696579729477887,42.03215270080724,False
British Columbia,2009,50.2,4.0,28511.0,3.0,True,83.2,1438.01,391.71,783.15,657.71,679.74,353.49,167.05,,459.98,,4930.84,275.81,5206.65,19.4,estimated,4410513,1.41,920686.55,43.1,42.8,20.3,60,40,4.79,103.71812749003983,0.5694331826775437,557.7943725099602,28.645617529880475,15.600597609561751,13.540637450199203,3.3276892430278884,13.101792828685259,7.041633466135458,3.2083969538954995,42.660059731305154,False
British Columbia,2010,55.5,5.0,30469.0,4.0,False,86.5,1559.6,377.06,813.4,614.13,785.41,363.0,164.04,,475.59,,5152.23,291.15,5443.38,19.8,estimated,4465557,1.25,920686.55,43.1,42.8,20.3,60,40,4.85,98.07891891891892,0.5661098364810375,563.4335810810811,28.1009009009009,14.655855855855856,14.15153153153153,2.9556756756756757,11.065405405405405,6.54054054054054,3.0135687752830043,43.59423740396592,False
British Columbia,2011,52.8,5.0,37670.0,5.0,False,83.8,1574.82,486.44,851.4,613.84,767.37,362.99,177.08,,447.99,,5281.94,278.39,5560.33,20.2,estimated,4503819,0.86,920686.55,43.1,42.8,20.3,60,40,4.89,105.3092803030303,0.5639343678056836,556.2032196969698,29.826136363636365,16.125,14.533522727272729,3.353787878787879,11.625757575757577,6.874810606060606,3.1847030661849214,43.63446054460796,False
British Columbia,2012,45.1,5.0,36461.0,5.0,False,82.8,1564.66,599.48,848.93,671.19,767.22,355.63,179.73,,532.22,,5519.06,288.81,5807.87,20.5,estimated,4570866,1.49,920686.55,43.1,42.8,20.3,60,40,4.96,128.77760532150776,0.5602019699505185,532.7348946784923,34.693126385809315,18.823281596452325,17.011529933481153,3.985144124168514,14.882261640798227,7.885365853658536,3.094594059440036,41.55723182509251,False
British Columbia,2013,42.0,10.0,42778.0,10.0,False,82.2,1572.37,641.63,865.57,630.33,746.09,358.46,188.55,,542.74,,5545.75,195.18,5740.92,20.9,estimated,4634943,1.4,920686.55,43.1,42.8,20.3,60,40,5.03,136.68857142857144,0.5565613823332026,524.8239285714286,37.43738095238095,20.608809523809526,17.76404761904762,4.489285714285715,15.007857142857144,8.534761904761904,3.2843167993980056,42.46601589989061,False
